"","queryid","subjectids","identity","positives","alignmentlength","mismatches","gapopens","q.start","q.end","s.start","s.end","evalue","bitscore"
"1","unnamed","gi|384482493|pdb|4DRU|A","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1149.0"
"2","unnamed","gi|384482494|pdb|4DRU|B","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1149.0"
"3","unnamed","gi|29726589|pdb|1NB4|A","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1148.0"
"4","unnamed","gi|29726590|pdb|1NB4|B","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1148.0"
"5","unnamed","gi|29726591|pdb|1NB6|A","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1148.0"
"6","unnamed","gi|29726592|pdb|1NB6|B","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1148.0"
"7","unnamed","gi|29726593|pdb|1NB7|A","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1148.0"
"8","unnamed","gi|29726594|pdb|1NB7|B","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1148.0"
"9","unnamed","gi|226887679|pdb|3CSO|A","98.93","98.93","563","  0","2","  1","557","   4"," 566","0.0e+00","1148.0"
"10","unnamed","gi|226887680|pdb|3CSO|B","98.93","98.93","563","  0","2","  1","557","   4"," 566","0.0e+00","1148.0"
"11","unnamed","gi|240104478|pdb|3GOL|A","98.93","98.93","563","  0","2","  1","557","   4"," 566","0.0e+00","1148.0"
"12","unnamed","gi|240104479|pdb|3GOL|B","98.93","98.93","563","  0","2","  1","557","   4"," 566","0.0e+00","1148.0"
"13","unnamed","gi|261824865|pdb|3GNV|A","98.93","98.93","563","  0","2","  1","557","   4"," 566","0.0e+00","1148.0"
"14","unnamed","gi|261824866|pdb|3GNV|B","98.93","98.93","563","  0","2","  1","557","   4"," 566","0.0e+00","1148.0"
"15","unnamed","gi|261824867|pdb|3GNW|A","98.93","98.93","563","  0","2","  1","557","   4"," 566","0.0e+00","1148.0"
"16","unnamed","gi|261824868|pdb|3GNW|B","98.93","98.93","563","  0","2","  1","557","   4"," 566","0.0e+00","1148.0"
"17","unnamed","gi|296863464|pdb|3HKY|A","98.93","98.93","563","  0","2","  1","557","   4"," 566","0.0e+00","1148.0"
"18","unnamed","gi|296863465|pdb|3HKY|B","98.93","98.93","563","  0","2","  1","557","   4"," 566","0.0e+00","1148.0"
"19","unnamed","gi|327200776|pdb|2XHU|A","98.93","98.93","563","  0","2","  1","557","   2"," 564","0.0e+00","1147.0"
"20","unnamed","gi|327200777|pdb|2XHU|B","98.93","98.93","563","  0","2","  1","557","   2"," 564","0.0e+00","1147.0"
"21","unnamed","gi|327200780|pdb|2XHW|A","98.93","98.93","563","  0","2","  1","557","   2"," 564","0.0e+00","1147.0"
"22","unnamed","gi|310689858|pdb|3MWV|A","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"23","unnamed","gi|310689859|pdb|3MWV|B","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"24","unnamed","gi|310689860|pdb|3MWW|A","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"25","unnamed","gi|310689861|pdb|3MWW|B","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"26","unnamed","gi|451928921|pdb|4GMC|A","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"27","unnamed","gi|451928922|pdb|4GMC|B","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"28","unnamed","gi|480312200|pdb|4IZ0|A","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"29","unnamed","gi|480312201|pdb|4IZ0|B","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"30","unnamed","gi|480312202|pdb|4J02|A","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"31","unnamed","gi|480312203|pdb|4J02|B","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"32","unnamed","gi|480312204|pdb|4J04|A","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"33","unnamed","gi|480312205|pdb|4J04|B","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"34","unnamed","gi|480312206|pdb|4J06|A","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"35","unnamed","gi|480312207|pdb|4J06|B","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"36","unnamed","gi|480312208|pdb|4J08|A","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"37","unnamed","gi|480312209|pdb|4J08|B","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"38","unnamed","gi|480312210|pdb|4J0A|A","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"39","unnamed","gi|480312211|pdb|4J0A|B","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"40","unnamed","gi|512125702|pdb|4JJS|A","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"41","unnamed","gi|512125703|pdb|4JJS|B","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"42","unnamed","gi|512125704|pdb|4JJU|A","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"43","unnamed","gi|512125705|pdb|4JJU|B","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"44","unnamed","gi|520728769|pdb|4JTY|A","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"45","unnamed","gi|520728770|pdb|4JTY|B","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"46","unnamed","gi|520728771|pdb|4JTZ|A","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"47","unnamed","gi|520728772|pdb|4JTZ|B","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"48","unnamed","gi|520728773|pdb|4JU1|A","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"49","unnamed","gi|520728774|pdb|4JU1|B","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"50","unnamed","gi|520728775|pdb|4JU2|A","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"51","unnamed","gi|520728776|pdb|4JU2|B","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"52","unnamed","gi|523309805|pdb|4JTW|A","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"53","unnamed","gi|523309806|pdb|4JTW|B","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
"54","unnamed","gi|560188885|pdb|4JU3|A","98.93","98.93","563","  0","2","  1","557","   1"," 563","0.0e+00","1147.0"
