"","queryid","subjectids","identity","positives","alignmentlength","mismatches","gapopens","q.start","q.end","s.start","s.end","evalue","bitscore"
"1","unnamed","gi|406855602|pdb|4AQF|C"," 99.79","100.00","474"," 1","0","  1","474","  3","476","0.0","993.0"
"2","unnamed","gi|406855603|pdb|4AQG|A"," 99.79","100.00","474"," 1","0","  1","474","  3","476","0.0","993.0"
"3","unnamed","gi|406855600|pdb|4AQF|A","100.00","100.00","474"," 0","0","  1","474","  3","476","0.0","993.0"
"4","unnamed","gi|406855601|pdb|4AQF|B","100.00","100.00","474"," 0","0","  1","474","  3","476","0.0","993.0"
"5","unnamed","gi|381352996|pdb|3U3I|A"," 97.05"," 98.95","474","14","0","  1","474","  2","475","0.0","967.0"
"6","unnamed","gi|401871436|pdb|4AKL|A"," 95.36"," 97.89","474","22","0","  1","474","  2","475","0.0","957.0"
"7","unnamed","gi|401871437|pdb|4AKL|B"," 95.36"," 97.89","474","22","0","  1","474","  2","475","0.0","957.0"
"8","unnamed","gi|48425080|pdb|1O5W|A"," 24.51"," 44.12","102","62","4","184","285","390","476","4.4"," 30.0"
"9","unnamed","gi|48425081|pdb|1O5W|B"," 24.51"," 44.12","102","62","4","184","285","390","476","4.4"," 30.0"
"10","unnamed","gi|48425082|pdb|1O5W|C"," 24.51"," 44.12","102","62","4","184","285","390","476","4.4"," 30.0"
"11","unnamed","gi|48425083|pdb|1O5W|D"," 24.51"," 44.12","102","62","4","184","285","390","476","4.4"," 30.0"
"12","unnamed","gi|157829680|pdb|1A47|A"," 56.00"," 68.00"," 25"," 9","1"," 95","119","531","553","5.8"," 29.6"
"13","unnamed","gi|157830625|pdb|1CIU|A"," 56.00"," 68.00"," 25"," 9","1"," 95","119","531","553","5.8"," 29.6"
"14","unnamed","gi|189096161|pdb|3BMV|A"," 56.00"," 68.00"," 25"," 9","1"," 95","119","531","553","5.9"," 29.6"
"15","unnamed","gi|189096162|pdb|3BMW|A"," 56.00"," 68.00"," 25"," 9","1"," 95","119","531","553","5.9"," 29.6"
"16","unnamed","gi|171848963|pdb|2Z5X|A"," 23.91"," 43.48"," 92","57","3","184","275","371","449","6.0"," 29.6"
"17","unnamed","gi|171848964|pdb|2Z5Y|A"," 23.91"," 43.48"," 92","57","3","184","275","371","449","6.0"," 29.6"
"18","unnamed","gi|75766405|pdb|2BXR|A"," 23.91"," 43.48"," 92","57","3","184","275","382","460","6.3"," 29.6"
"19","unnamed","gi|75766406|pdb|2BXR|B"," 23.91"," 43.48"," 92","57","3","184","275","382","460","6.3"," 29.6"
"20","unnamed","gi|75766407|pdb|2BXS|A"," 23.91"," 43.48"," 92","57","3","184","275","382","460","6.3"," 29.6"
"21","unnamed","gi|75766408|pdb|2BXS|B"," 23.91"," 43.48"," 92","57","3","184","275","382","460","6.3"," 29.6"
