"protein","r.rsa_avg_md","p.rsa_avg_md","r.wcn_avg_md","p.wcn_avg_md","r.chi1_var_md","p.chi1_var_md","r.rmsf_avg_md","p.rmsf_avg_md","r.bfca","p.bfca"
"1RD8_AB",0.28378671707236,9.01649957526463e-11,0.182052058273481,4.0045729879705e-05,0.243147766730109,3.02280629515308e-07,0.0707098715265296,0.113217706508461,0.262158919118492,2.37680621017886e-09
"2FP7_B",0.314851174428761,0.000102737242730783,0.319156341554284,8.14542632569238e-05,0.292081016629617,0.0013963825276264,0.219003780420146,0.0076978003956847,0.17339118156338,0.0357072789950224
"2JLY_A",0.293002982833258,2.22501171838774e-10,0.297543558188691,1.13383809176978e-10,0.18315227669657,0.000292267533801852,0.0677387297758349,0.150942874013786,0.0933552495301644,0.0475475503290239
"2Z83_A",0.181245767412942,0.000169185264257426,0.182239164100765,0.000155548666493115,0.0743610468321638,0.162690435420908,0.149077694863129,0.00203452786895433,0.0872547027840256,0.0720095408961114
"3GOL_A",0.335916432633521,3.69828665085943e-16,0.235943389875821,1.74335100059513e-08,0.289608488225174,1.3628041915681e-10,0.0553696238108933,0.191948854635408,0.128261461918276,0.00242284582643541
"3LYF_A",0.208289284139535,0.00106470780793695,0.196253803346491,0.00207107347294986,0.0713699478465802,0.31894815360219,0.051743420314546,0.421023532171531,0.0268989105210761,0.675879519523315
"4AQF_B",0.35400182810591,1.9332354574874e-15,0.33469780887004,7.17715048824803e-14,0.196653433931456,7.35599828568756e-05,0.25170704304893,2.77181455168896e-08,0.131914526518006,0.00401498775364913
"4GHA_A",-0.0210066346086775,0.818353954460969,0.0302016167961991,0.741226948813038,-0.21328791656697,0.0313669371884873,0.0441421590623595,0.629250348257966,0.033678756434545,0.712672644527233
"4IRY_A",0.164460050184614,0.000906698359037759,0.178286676884841,0.00031661989656854,0.162564191268942,0.00252897504380552,0.0710584113424449,0.153974126582646,0.115755342399252,0.0199507516333719
"3GSZ_A",0.338826331495542,1.86417056868368e-16,0.238666003870224,1.14433338617316e-08,0.261620990750483,7.38803327553735e-09,0.0640530205717407,0.130732118748451,0.219776151568213,1.56990351046844e-07
"3I5K_A",0.354529839445361,3.31688697583893e-18,0.242781383185308,4.8878827066357e-09,0.304454814720883,8.94889335035551e-12,0.0717243306213966,0.0882317751418159,0.129513831606112,0.00201893368059671
"2JLY_A_temp_50",0.294303446842587,1.83655322231307e-10,0.303694103669906,4.46363573902426e-11,0.104001462700512,0.0408667253557208,0.0967850916279324,0.039925078519075,0.0933552495301644,0.0475475503290239
"2JLY_A_temp_100",0.290820085385106,3.0637832100907e-10,0.29986018265973,8.00166102903637e-11,0.090210035445508,0.0763090745225093,0.0748719360763065,0.112319326505364,0.0933552495301644,0.0475475503290239
"2JLY_A_temp_200",0.298034599661947,1.05336440700417e-10,0.295499205064235,1.53819494735571e-10,0.212876985388635,2.41355221079029e-05,0.0901309774795756,0.0557899926779069,0.0933552495301644,0.0475475503290239
"2JLY_A_temp_450",0.285308848305057,6.78834061181214e-10,0.292129349659332,2.5297341282622e-10,0.168776108349957,0.00085785158646481,0.0955051047392065,0.0426392719403159,0.0933552495301644,0.0475475503290239
