"","queryid","subjectids","identity","positives","alignmentlength","mismatches","gapopens","q.start","q.end","s.start","s.end","evalue","bitscore"
"1","unnamed","gi|169404679|pdb|2Z83|A","97.26","97.26","438","  0"," 3","  1","426"," 15","452"," 0.0e+00","875.0"
"2","unnamed","gi|158431093|pdb|2V8O|A","86.07","93.15","438"," 49"," 3","  1","426","  6","443"," 0.0e+00","795.0"
"3","unnamed","gi|270047579|pdb|2WV9|A","86.07","93.15","438"," 49"," 3","  1","426","235","672"," 0.0e+00","791.0"
"4","unnamed","gi|157835908|pdb|2QEQ|A","82.91","91.45","433"," 62"," 3","  6","426","  1","433"," 0.0e+00","756.0"
"5","unnamed","gi|157835909|pdb|2QEQ|B","82.91","91.45","433"," 62"," 3","  6","426","  1","433"," 0.0e+00","756.0"
"6","unnamed","gi|215261009|pdb|2JLS|A","64.53","82.15","437","143"," 3","  2","426"," 14","450"," 0.0e+00","608.0"
"7","unnamed","gi|215261008|pdb|2JLR|A","64.30","81.92","437","144"," 3","  2","426"," 14","450"," 0.0e+00","606.0"
"8","unnamed","gi|215261010|pdb|2JLU|A","64.30","81.92","437","144"," 3","  2","426"," 14","450"," 0.0e+00","606.0"
"9","unnamed","gi|215261011|pdb|2JLU|B","64.30","81.92","437","144"," 3","  2","426"," 14","450"," 0.0e+00","606.0"
"10","unnamed","gi|215261014|pdb|2JLV|A","64.30","81.92","437","144"," 3","  2","426"," 14","450"," 0.0e+00","606.0"
"11","unnamed","gi|215261015|pdb|2JLV|B","64.30","81.92","437","144"," 3","  2","426"," 14","450"," 0.0e+00","606.0"
"12","unnamed","gi|215261018|pdb|2JLW|A","64.30","81.92","437","144"," 3","  2","426"," 14","450"," 0.0e+00","606.0"
"13","unnamed","gi|215261019|pdb|2JLW|B","64.30","81.92","437","144"," 3","  2","426"," 14","450"," 0.0e+00","606.0"
"14","unnamed","gi|215261022|pdb|2JLX|A","64.30","81.92","437","144"," 3","  2","426"," 14","450"," 0.0e+00","606.0"
"15","unnamed","gi|215261023|pdb|2JLX|B","64.30","81.92","437","144"," 3","  2","426"," 14","450"," 0.0e+00","606.0"
"16","unnamed","gi|215261030|pdb|2JLZ|A","64.30","81.92","437","144"," 3","  2","426"," 14","450"," 0.0e+00","606.0"
"17","unnamed","gi|215261031|pdb|2JLZ|B","64.30","81.92","437","144"," 3","  2","426"," 14","450"," 0.0e+00","606.0"
"18","unnamed","gi|159795581|pdb|2VBC|A","64.53","82.15","437","143"," 3","  2","426","181","617"," 0.0e+00","607.0"
"19","unnamed","gi|293651728|pdb|2WZQ|A","64.53","82.15","437","143"," 3","  2","426","182","618"," 0.0e+00","607.0"
"20","unnamed","gi|293651725|pdb|2WHX|A","64.53","82.15","437","143"," 3","  2","426","181","617"," 0.0e+00","606.0"
"21","unnamed","gi|75766353|pdb|2BHR|A","63.84","80.55","437","146"," 3","  2","426"," 14","450"," 0.0e+00","599.0"
"22","unnamed","gi|75766354|pdb|2BHR|B","63.84","80.55","437","146"," 3","  2","426"," 14","450"," 0.0e+00","599.0"
"23","unnamed","gi|75766362|pdb|2BMF|A","63.84","80.55","437","146"," 3","  2","426"," 14","450"," 0.0e+00","599.0"
"24","unnamed","gi|75766363|pdb|2BMF|B","63.84","80.55","437","146"," 3","  2","426"," 14","450"," 0.0e+00","599.0"
"25","unnamed","gi|215261007|pdb|2JLQ|A","64.53","81.92","437","143"," 3","  2","426"," 14","450"," 0.0e+00","592.0"
"26","unnamed","gi|215261026|pdb|2JLY|A","64.53","81.92","437","143"," 3","  2","426"," 14","450"," 0.0e+00","592.0"
"27","unnamed","gi|215261027|pdb|2JLY|B","64.53","81.92","437","143"," 3","  2","426"," 14","450"," 0.0e+00","592.0"
"28","unnamed","gi|170785041|pdb|2V6I|A","60.97","78.98","433","154"," 4","  6","426","  1","430"," 0.0e+00","570.0"
"29","unnamed","gi|170785042|pdb|2V6J|A","60.74","78.75","433","155"," 4","  6","426","  1","430"," 0.0e+00","567.0"
"30","unnamed","gi|75765635|pdb|1YKS|A","48.63","67.12","438","211"," 5","  2","426","  3","439","1.0e-147","431.0"
"31","unnamed","gi|75765636|pdb|1YMF|A","47.49","64.84","438","216"," 5","  2","426","  3","439","2.0e-140","412.0"
